Portland ALA
2020-3-1

100
,Brittany SHEARMIRE,32,F,13:16,,,,,13:16,
,Samuel STEM,53,M,13:26,,,,,13:26,
,Timothy WALLER,41,M,35,13:34,,,,,13:34
,Destin BROWN,46,M,13:36,,,,,13:36,
,Laurel BROWN,15,F,13:41,,,,,13:41,
,Baron ROBISON,56,M,13:57,,,,,13:57,
,Kim HANLEY,46,F,13:58,,,,,13:58,
,Jacqline BATTLE,31,F,14:04,,,,,14:04,
,Kristie PHAN,31,F,14:55,,,,,14:55,
,Tammy MOORE,56,F,15:19,,,,,15:19,
,Ken COLLING,74,M,15:32,,,,,15:32,
,Jason CLEOFE,5,M,15:34,,,,,15:34,
,John WALLER,66,M,35,16:13,,,,,16:13
,Rachel MCCARTHY,39,F,16:25,,,,,16:25,
,Sandra HAYNIE,75,F,16:38,,,,,16:38,
,Ashley CASTINO,30,F,16:44,,,,,16:44,
,Lauren BURKE,26,F,20:41,,,,,20:41,
,Marjorie DERU,37,F,21:10,,,,,21:10,
,Giselle PERRY,58,F,23:14,,,,,23:14,
,Mary CZECH,48,F,23:28,,,,,23:28,
,Natalie BURTON,39,F,25:45:00,,,,,25:45:00,
,Rebecca DUFEK,48,F,26:21:00,,,,,26:21:00,
,Bob CAREY,29,M,26:27:00,,,,,26:27:00,
,Michael DAILY,64,M,26:56:00,,,,,26:56:00,
,Carly MONTALBANO,37,F,35:58:00,,,,,35:58:00,
