2023 Space Needle,,,,,,
2023-10-2,,,,,,
,,,,,,
,Tim Lau,,M18-29,10:19.4,619.4,
,Jackson Ellis-Luca,,F30-39,10:19.4,619.4,
,Monica A Green,,F40-49,10:19.5,619.5,
,Patrick McCauley,,M30-39,10:19.7,619.7,
,Vijay Paruchuru 6,,M40-49,10:19.8,619.8,
,Lauren May,,F18-29,10:20.4,620.4,
,Rai Nelson 5,,F40-49,10:20.5,620.5,
,Bethany Hoy,,F18-29,10:20.6,620.6,
,Bridget Boline,,F18-29,10:21.3,621.3,
,Jaclyn Siska,,F40-49,10:22.1,622.1,
,Andy Parker,,M40-49,10:22.3,622.3,
,Ryan HOLLINGSWORTH,,M18-29,10:23.6,623.6,
,Rachael McClennen,,F50-59,10:23.7,623.7,
,Lindsay Nyquist,,F40-49,10:23.8,623.8,
,Lucian Lum,,M18-29,10:24.3,624.3,
,Sarah Howe,,F30-39,10:24.4,624.4,
,Anna Dievendorf,,F18-29,10:24.8,624.8,
,Davy Adams,,F30-39,10:24.8,624.8,
,Sridhar Poduri,,M40-49,10:25.1,625.1,
,Keith Meyer,,M18-29,10:25.2,625.2,
,Laura Matloff,,F30-39,10:26.8,626.8,
,Jason Jerome,,M40-49,10:26.8,626.8,
,Michelle Toh,,F30-39,10:27.1,627.1,
,Jennie Trapanese,,F30-39,10:27.2,627.2,
,Dave Moore,,M40-49,10:27.6,627.6,
,James Krajnak 3,,M50-59,10:27.8,627.8,
,Chris Johnson,,M40-49,10:28.0,628,
,Paula Kennedy,,F50-59,10:28.3,628.3,
,Melissa Bahr,,F40-49,10:28.4,628.4,
,Christian Vornheder,,F40-49,10:29.2,629.2,
,Yuta Yoshikawa,,M18-29,10:29.7,629.7,
,Tiffany Shen,,F30-39,10:30.3,630.3,
,Sarah Allen,,F18-29,10:31.1,631.1,
,Grant Hadlich 3,,M30-39,10:31.6,631.6,
,Irena Lewis,,F30-39,10:31.6,631.6,
,Allison Osterberg,,F40-49,10:32.0,632,
,Rick Porter 3,,M70-79,10:32.4,632.4,
,A. Land,,M40-49,10:32.8,632.8,
,Ciara Breslin,,F30-39,10:33.0,633,
,Susan McLaughlin,,F40-49,10:33.1,633.1,
,Kate Daie,,F30-39,10:33.7,633.7,
,Carolyn Wallace,,F40-49,10:33.9,633.9,
,Madeline McGrath,,M18-29,10:34.3,634.3,
,Travis Jo Cufley,,F40-49,10:35.5,635.5,
,Keith Levesque,,M30-39,10:35.6,635.6,
,Sandra Valdivia,,F50-59,10:36.1,636.1,
,Jason Landfried,,M40-49,10:36.9,636.9,
,Mohit Srivastava,,M40-49,10:37.0,637,
,Stacey Koutlas,,F40-49,10:37.0,637,
